url,headline,img_path
/en/news-in-english/19/2827363/polish-party-alleges-discrimination-over-school-mergers-in-lithuania-s-trakai-district,Polish party alleges discrimination over school mergers in Lithuaniaâs Trakai district,/img/2023/10/13/1607256-33887-150x84.jpg
/en/news-in-english/19/2825314/what-is-lithuania-spending-its-record-breaking-military-budget-on,What is Lithuania spending its record-breaking military budget on?,/img/2025/06/05/2091798-826587-150x84.jpg
/en/news-in-english/19/2827218/lithuanian-police-detain-28-suspects-including-5-ringleaders-in-smuggler-balloon-probe,"Lithuanian police detain 28 suspects, including 5 ringleaders, in smuggler balloon probe",/img/2026/02/04/2306044-310121-150x84.jpg
/en/news-in-english/19/2827189/nemunas-dawn-leader-rented-car-to-own-party-raising-conflict-of-interest-suspicions,"Nemunas Dawn leader rented car to own party, raising conflict of interest suspicions",/img/2024/10/27/1899364-61661-150x84.jpg
/en/news-in-english/19/2827143/one-third-of-lithuanians-see-antisemitism-as-a-problem-survey,One-third of Lithuanians see antisemitism as a problem â survey,/img/2022/12/05/1400782-41866-150x84.jpg
/en/news-in-english/19/2827119/baltic-sea-ice-covers-about-a-quarter-of-surface,Baltic Sea ice covers about a quarter of surface,/img/2026/02/04/2305946-128879-150x84.jpg
/en/news-in-english/19/2827074/europe-is-undefendable-without-us-says-lithuanian-fm,"âEurope is undefendableâ without US, says Lithuanian FM",/img/2026/01/16/2290148-472154-150x84.jpg
/en/news-in-english/19/2826301/epstein-files-and-lithuania-contacts-with-artists-and-lithuanian-ancestry,Epstein files and Lithuania: contacts with artists and Lithuanian ancestry,/img/2026/01/31/2302644-22543-150x84.jpg
/en/news-in-english/19/2826194/testing-waters-lithuanian-officials-signal-possible-shift-in-approach-to-belarus,Testing waters? Lithuanian officials signal possible shift in approach to Belarus,/img/2025/12/18/2270058-978673-150x84.jpg
/en/news-in-english/19/2826323/belarusian-oppositionist-urges-lithuania-to-restore-transport-links-with-belarus,Belarusian oppositionist urges Lithuania to restore transport links with Belarus,/img/2025/12/14/2265517-818606-150x84.jpg
/en/news-in-english/19/2826279/lithuanian-pm-says-vilnius-jumped-in-front-of-a-train-with-taiwanese-office,Lithuanian PM says Vilnius âjumped in front of a trainâ with Taiwanese office,/img/2025/06/25/2111187-188424-150x84.jpg
/en/news-in-english/19/2826230/lithuanian-pm-says-relations-with-belarus-unlikely-to-improve,Lithuanian PM says relations with Belarus unlikely to improve,/img/2026/01/06/2282092-713907-150x84.jpg
/en/news-in-english/19/2826216/lithuanian-prosecutors-launch-investigation-after-epstein-files-reveal-local-connections,Lithuanian prosecutors launch investigation after Epstein files reveal local connections,/img/2025/11/27/2250410-410631-150x84.jpg
